"","НазваПС","substance","lat","lon","valueType","value"
"62","канал Дніпро-Донбас, 214 км, м. Харків, Краснопавлівське водосховище, в/з міста","ФосфатІониМгДм3",49.13893,36.463015,"mean",0.175901960784314
"63","канал Дніпро-Донбас, 214 км, м. Харків, Краснопавлівське водосховище, в/з міста","ХлоридІониМгДм3",49.13893,36.463015,"mean",68.0627450980392
"64","канал Дніпро-Донбас, 215 км, верхній б'єф Краснопавлівського водосховища, скид у р. Сіверський Дінець","АмонійІониМгДм3",49.113823,36.500952,"mean",0.352183333333333
"65","канал Дніпро-Донбас, 215 км, верхній б'єф Краснопавлівського водосховища, скид у р. Сіверський Дінець","БСК5МгОДм3",49.113823,36.500952,"mean",2.4900826446281
"66","канал Дніпро-Донбас, 215 км, верхній б'єф Краснопавлівського водосховища, скид у р. Сіверський Дінець","ЗависліРечовиниМгДм3",49.113823,36.500952,"mean",5.48925619834711
"67","канал Дніпро-Донбас, 215 км, верхній б'єф Краснопавлівського водосховища, скид у р. Сіверський Дінець","КисеньРозчиненийМгО2Дм3",49.113823,36.500952,"mean",10.5406557377049
"68","канал Дніпро-Донбас, 215 км, верхній б'єф Краснопавлівського водосховища, скид у р. Сіверський Дінець","НітратІониМгДм3",49.113823,36.500952,"mean",1.14941176470588
"69","канал Дніпро-Донбас, 215 км, верхній б'єф Краснопавлівського водосховища, скид у р. Сіверський Дінець","НітритІониМгДм3",49.113823,36.500952,"mean",0.0601166666666667
"70","канал Дніпро-Донбас, 215 км, верхній б'єф Краснопавлівського водосховища, скид у р. Сіверський Дінець","ПерманганатнаОкислюваністьМгОДм3",49.113823,36.500952,"mean",7.17355371900826
"71","канал Дніпро-Донбас, 215 км, верхній б'єф Краснопавлівського водосховища, скид у р. Сіверський Дінець","СульфатІониМгДм3",49.113823,36.500952,"mean",371.351239669421
"72","канал Дніпро-Донбас, 215 км, верхній б'єф Краснопавлівського водосховища, скид у р. Сіверський Дінець","ФітопланктонТисКлітинДм3",49.113823,36.500952,"mean",10531
"73","канал Дніпро-Донбас, 215 км, верхній б'єф Краснопавлівського водосховища, скид у р. Сіверський Дінець","ФосфатІониМгДм3",49.113823,36.500952,"mean",0.151533333333333
"74","канал Дніпро-Донбас, 215 км, верхній б'єф Краснопавлівського водосховища, скид у р. Сіверський Дінець","ХлоридІониМгДм3",49.113823,36.500952,"mean",67.8347107438017
"75","канал Дніпро-Донбас, 216 км, нижній б'єф   Краснопавлівського вдсх.","АмонійІониМгДм3",49.1138,36.5014,"mean",0.314444444444444
"76","канал Дніпро-Донбас, 216 км, нижній б'єф   Краснопавлівського вдсх.","АтразинМкгДм3",49.1138,36.5014,"mean",0
"77","канал Дніпро-Донбас, 216 км, нижній б'єф   Краснопавлівського вдсх.","БСК5МгОДм3",49.1138,36.5014,"mean",3.44153846153846
"78","канал Дніпро-Донбас, 216 км, нижній б'єф   Краснопавлівського вдсх.","ЗависліРечовиниМгДм3",49.1138,36.5014,"mean",15.1888888888889
"79","канал Дніпро-Донбас, 216 км, нижній б'єф   Краснопавлівського вдсх.","КисеньРозчиненийМгО2Дм3",49.1138,36.5014,"mean",9.26962962962963
"80","канал Дніпро-Донбас, 216 км, нижній б'єф   Краснопавлівського вдсх.","НітратІониМгДм3",49.1138,36.5014,"mean",0.871851851851852
"81","канал Дніпро-Донбас, 216 км, нижній б'єф   Краснопавлівського вдсх.","НітритІониМгДм3",49.1138,36.5014,"mean",0.026962962962963
"82","канал Дніпро-Донбас, 216 км, нижній б'єф   Краснопавлівського вдсх.","ПерманганатнаОкислюваністьМгОДм3",49.1138,36.5014,"mean",7.9
"83","канал Дніпро-Донбас, 216 км, нижній б'єф   Краснопавлівського вдсх.","СимазинМкгДм3",49.1138,36.5014,"mean",0
"84","канал Дніпро-Донбас, 216 км, нижній б'єф   Краснопавлівського вдсх.","СинтетичніПоверхневоАктивніРечовиниМгДм3",49.1138,36.5014,"mean",0.0236296296296296
"85","канал Дніпро-Донбас, 216 км, нижній б'єф   Краснопавлівського вдсх.","СульфатІониМгДм3",49.1138,36.5014,"mean",389.111111111111
